iteracion,subset,f1_score
110,"['Links_pointing_to_page', 'HTTPS_token', 'having_Sub_Domain', 'popUpWidnow', 'SSLfinal_State']",0.8855140186915887
286,"['port', 'Google_Index', 'having_Sub_Domain', 'Iframe', 'SSLfinal_State']",0.8854538248117321
309,"['Redirect', 'double_slash_redirecting', 'SSLfinal_State', 'Links_in_tags', 'RightClick']",0.8852330591461026
277,"['SFH', 'SSLfinal_State', 'Links_in_tags', 'Abnormal_URL', 'double_slash_redirecting']",0.8849765258215962
205,"['Google_Index', 'SSLfinal_State', 'Page_Rank', 'Statistical_report', 'Shortining_Service']",0.8849487785657998
213,"['SFH', 'Abnormal_URL', 'DNSRecord', 'SSLfinal_State', 'Iframe']",0.8842845973416732
414,"['Abnormal_URL', 'Iframe', 'SSLfinal_State', 'Submitting_to_email', 'Page_Rank']",0.8835216205687573
469,"['HTTPS_token', 'popUpWidnow', 'age_of_domain', 'SSLfinal_State', 'Links_in_tags']",0.882903981264637
390,"['SFH', 'SSLfinal_State', 'Google_Index', 'having_At_Symbol', 'HTTPS_token']",0.8818897637795275
206,"['Domain_registeration_length', 'Links_pointing_to_page', 'Links_in_tags', 'SSLfinal_State', 'DNSRecord']",0.8814613291877186
481,"['Shortining_Service', 'Statistical_report', 'SSLfinal_State', 'Page_Rank', 'Links_in_tags']",0.8812767613857532
154,"['Links_in_tags', 'URL_Length', 'Abnormal_URL', 'SSLfinal_State', 'Statistical_report']",0.8811188811188811
461,"['DNSRecord', 'SFH', 'having_Sub_Domain', 'SSLfinal_State', 'double_slash_redirecting']",0.8810538550949244
293,"['Links_in_tags', 'having_IP_Address', 'age_of_domain', 'double_slash_redirecting', 'URL_of_Anchor']",0.8810437452033768
410,"['SSLfinal_State', 'Request_URL', 'on_mouseover', 'URL_Length', 'having_IP_Address']",0.8807126258714175
367,"['Links_in_tags', 'Submitting_to_email', 'SSLfinal_State', 'on_mouseover', 'URL_Length']",0.8804347826086957
35,"['URL_of_Anchor', 'on_mouseover', 'Shortining_Service', 'Request_URL', 'Links_in_tags']",0.8804306036139946
219,"['Links_in_tags', 'Domain_registeration_length', 'Favicon', 'SSLfinal_State', 'having_At_Symbol']",0.880248833592535
83,"['having_At_Symbol', 'Links_pointing_to_page', 'Redirect', 'SSLfinal_State', 'on_mouseover']",0.879906723668869
16,"['Iframe', 'Shortining_Service', 'URL_Length', 'popUpWidnow', 'SSLfinal_State']",0.8797517455391777
57,"['Iframe', 'RightClick', 'URL_Length', 'SSLfinal_State', 'Shortining_Service']",0.879410624272974
253,"['on_mouseover', 'Domain_registeration_length', 'having_IP_Address', 'Shortining_Service', 'SSLfinal_State']",0.8786707882534776
346,"['Iframe', 'Abnormal_URL', 'URL_of_Anchor', 'Redirect', 'age_of_domain']",0.8775362318840579
427,"['RightClick', 'Page_Rank', 'double_slash_redirecting', 'SSLfinal_State', 'having_At_Symbol']",0.8775108310358409
266,"['Abnormal_URL', 'Links_in_tags', 'URL_of_Anchor', 'URL_Length', 'having_Sub_Domain']",0.8770096463022508
308,"['on_mouseover', 'popUpWidnow', 'SSLfinal_State', 'SFH', 'Statistical_report']",0.8761523046092184
161,"['Domain_registeration_length', 'DNSRecord', 'SSLfinal_State', 'Page_Rank', 'RightClick']",0.8751926040061633
480,"['Links_pointing_to_page', 'Submitting_to_email', 'double_slash_redirecting', 'Page_Rank', 'URL_of_Anchor']",0.8745980707395499
197,"['HTTPS_token', 'Abnormal_URL', 'URL_of_Anchor', 'popUpWidnow', 'Shortining_Service']",0.8745980707395499
108,"['URL_of_Anchor', 'double_slash_redirecting', 'URL_Length', 'Favicon', 'HTTPS_token']",0.8745980707395499
135,"['Links_pointing_to_page', 'Favicon', 'Submitting_to_email', 'popUpWidnow', 'URL_of_Anchor']",0.8745980707395499
364,"['URL_Length', 'double_slash_redirecting', 'age_of_domain', 'URL_of_Anchor', 'Submitting_to_email']",0.8745980707395499
459,"['popUpWidnow', 'URL_of_Anchor', 'Submitting_to_email', 'HTTPS_token', 'having_IP_Address']",0.8745980707395499
130,"['URL_Length', 'Iframe', 'URL_of_Anchor', 'having_IP_Address', 'Submitting_to_email']",0.8745980707395499
172,"['Google_Index', 'Links_pointing_to_page', 'Page_Rank', 'URL_of_Anchor', 'Abnormal_URL']",0.8745788094346687
137,"['double_slash_redirecting', 'having_Sub_Domain', 'URL_of_Anchor', 'popUpWidnow', 'Request_URL']",0.8745603751465416
168,"['having_Sub_Domain', 'Page_Rank', 'URL_of_Anchor', 'Request_URL', 'Links_pointing_to_page']",0.8738980452280567
132,"['age_of_domain', 'popUpWidnow', 'having_Sub_Domain', 'HTTPS_token', 'URL_of_Anchor']",0.873735481453728
203,"['Abnormal_URL', 'DNSRecord', 'SFH', 'Links_in_tags', 'URL_of_Anchor']",0.8730800323362975
119,"['URL_Length', 'Google_Index', 'SFH', 'SSLfinal_State', 'having_Sub_Domain']",0.8729719034428176
333,"['SSLfinal_State', 'Google_Index', 'popUpWidnow', 'age_of_domain', 'Request_URL']",0.8729666924864447
158,"['Page_Rank', 'age_of_domain', 'Links_pointing_to_page', 'Submitting_to_email', 'URL_of_Anchor']",0.8717579250720461
287,"['Redirect', 'Request_URL', 'SSLfinal_State', 'Google_Index', 'DNSRecord']",0.8714953271028038
164,"['Favicon', 'SSLfinal_State', 'Domain_registeration_length', 'port', 'Links_pointing_to_page']",0.871264367816092
140,"['having_IP_Address', 'Favicon', 'having_Sub_Domain', 'URL_of_Anchor', 'web_traffic']",0.870722433460076
378,"['Google_Index', 'having_Sub_Domain', 'URL_of_Anchor', 'Links_in_tags', 'Links_pointing_to_page']",0.8700696055684455
322,"['SSLfinal_State', 'RightClick', 'having_Sub_Domain', 'on_mouseover', 'Domain_registeration_length']",0.8700347088314694
315,"['Request_URL', 'Google_Index', 'SFH', 'having_At_Symbol', 'SSLfinal_State']",0.8698039215686274
243,"['Shortining_Service', 'popUpWidnow', 'SSLfinal_State', 'Statistical_report', 'Domain_registeration_length']",0.8695984703632887
386,"['having_At_Symbol', 'URL_of_Anchor', 'HTTPS_token', 'Google_Index', 'popUpWidnow']",0.8694998119593832
416,"['Google_Index', 'age_of_domain', 'URL_Length', 'URL_of_Anchor', 'having_IP_Address']",0.8694998119593832
152,"['Google_Index', 'DNSRecord', 'Links_pointing_to_page', 'having_At_Symbol', 'URL_of_Anchor']",0.8689759036144579
30,"['double_slash_redirecting', 'SSLfinal_State', 'age_of_domain', 'Abnormal_URL', 'Domain_registeration_length']",0.8679678530424799
405,"['popUpWidnow', 'Shortining_Service', 'Domain_registeration_length', 'Links_in_tags', 'URL_of_Anchor']",0.8679245283018868
82,"['Shortining_Service', 'popUpWidnow', 'Google_Index', 'SSLfinal_State', 'Request_URL']",0.8668467773060594
252,"['URL_Length', 'Links_pointing_to_page', 'URL_of_Anchor', 'age_of_domain', 'port']",0.8662790697674418
199,"['URL_of_Anchor', 'Page_Rank', 'SFH', 'having_At_Symbol', 'HTTPS_token']",0.8656283955088736
67,"['having_Sub_Domain', 'Abnormal_URL', 'Links_in_tags', 'double_slash_redirecting', 'URL_of_Anchor']",0.865392435949573
4,"['URL_of_Anchor', 'URL_Length', 'having_IP_Address', 'Shortining_Service', 'having_Sub_Domain']",0.8652766639935846
62,"['SFH', 'web_traffic', 'URL_of_Anchor', 'having_Sub_Domain', 'having_At_Symbol']",0.863905325443787
313,"['Redirect', 'Favicon', 'RightClick', 'URL_of_Anchor', 'Iframe']",0.8635541078537822
347,"['age_of_domain', 'double_slash_redirecting', 'Links_pointing_to_page', 'URL_of_Anchor', 'RightClick']",0.8635541078537822
149,"['URL_of_Anchor', 'Links_pointing_to_page', 'RightClick', 'Redirect', 'having_Sub_Domain']",0.8632571635836054
236,"['Links_in_tags', 'Favicon', 'Google_Index', 'Redirect', 'URL_of_Anchor']",0.8625047874377633
84,"['URL_Length', 'on_mouseover', 'Shortining_Service', 'URL_of_Anchor', 'popUpWidnow']",0.8624725676664228
182,"['Domain_registeration_length', 'DNSRecord', 'Page_Rank', 'URL_of_Anchor', 'Shortining_Service']",0.8622153608645311
383,"['Shortining_Service', 'Page_Rank', 'URL_of_Anchor', 'having_At_Symbol', 'age_of_domain']",0.8618421052631579
261,"['port', 'URL_of_Anchor', 'Iframe', 'SFH', 'Favicon']",0.8615384615384616
358,"['Google_Index', 'SSLfinal_State', 'port', 'DNSRecord', 'double_slash_redirecting']",0.860730593607306
350,"['Links_in_tags', 'SSLfinal_State', 'Google_Index', 'HTTPS_token', 'having_At_Symbol']",0.860248447204969
112,"['Links_pointing_to_page', 'Google_Index', 'URL_of_Anchor', 'on_mouseover', 'age_of_domain']",0.8601986249045073
217,"['HTTPS_token', 'SFH', 'Abnormal_URL', 'Submitting_to_email', 'URL_of_Anchor']",0.8601602330662782
408,"['URL_of_Anchor', 'having_At_Symbol', 'Favicon', 'popUpWidnow', 'Redirect']",0.8593406593406593
342,"['Iframe', 'Favicon', 'RightClick', 'URL_of_Anchor', 'having_At_Symbol']",0.8590211833455077
419,"['URL_of_Anchor', 'Favicon', 'having_At_Symbol', 'Request_URL', 'having_IP_Address']",0.8588679245283019
474,"['Favicon', 'DNSRecord', 'Request_URL', 'Submitting_to_email', 'URL_of_Anchor']",0.8588588588588588
259,"['Shortining_Service', 'SFH', 'HTTPS_token', 'URL_of_Anchor', 'port']",0.8581844695588772
63,"['having_At_Symbol', 'popUpWidnow', 'URL_of_Anchor', 'HTTPS_token', 'Links_in_tags']",0.8579859830320915
348,"['having_At_Symbol', 'Page_Rank', 'SFH', 'on_mouseover', 'URL_of_Anchor']",0.8576696165191741
242,"['SSLfinal_State', 'Favicon', 'Iframe', 'Google_Index', 'Links_in_tags']",0.857365549493375
51,"['on_mouseover', 'URL_of_Anchor', 'having_Sub_Domain', 'Statistical_report', 'Abnormal_URL']",0.8571428571428571
447,"['HTTPS_token', 'Statistical_report', 'Favicon', 'Request_URL', 'URL_of_Anchor']",0.8568273831431726
167,"['URL_of_Anchor', 'port', 'Abnormal_URL', 'Links_in_tags', 'URL_Length']",0.8566788469346326
105,"['URL_of_Anchor', 'Abnormal_URL', 'having_IP_Address', 'having_At_Symbol', 'Shortining_Service']",0.8561971312982715
406,"['SFH', 'on_mouseover', 'Links_in_tags', 'URL_of_Anchor', 'Domain_registeration_length']",0.8552321007081038
102,"['URL_of_Anchor', 'Page_Rank', 'Domain_registeration_length', 'URL_Length', 'having_IP_Address']",0.8547008547008547
418,"['Redirect', 'URL_of_Anchor', 'Request_URL', 'Iframe', 'RightClick']",0.8546125461254612
381,"['URL_of_Anchor', 'port', 'popUpWidnow', 'Domain_registeration_length', 'HTTPS_token']",0.8540755467196819
375,"['on_mouseover', 'Submitting_to_email', 'Favicon', 'Links_in_tags', 'URL_of_Anchor']",0.8539904376609048
380,"['Request_URL', 'URL_of_Anchor', 'age_of_domain', 'having_At_Symbol', 'port']",0.8537578674564976
276,"['Submitting_to_email', 'Iframe', 'Domain_registeration_length', 'URL_of_Anchor', 'Page_Rank']",0.8531359563693027
258,"['Redirect', 'URL_of_Anchor', 'RightClick', 'Page_Rank', 'SFH']",0.8528440366972477
9,"['Iframe', 'URL_of_Anchor', 'port', 'Domain_registeration_length', 'double_slash_redirecting']",0.8526946107784431
497,"['Favicon', 'URL_of_Anchor', 'having_IP_Address', 'on_mouseover', 'HTTPS_token']",0.8525073746312685
491,"['Abnormal_URL', 'age_of_domain', 'on_mouseover', 'Submitting_to_email', 'URL_of_Anchor']",0.8524107471475892
280,"['Domain_registeration_length', 'DNSRecord', 'web_traffic', 'Google_Index', 'URL_of_Anchor']",0.8518375241779497
